Post-nr	Navn	Samtlige husstande	Samtlige - ekskl. Nej tak	Samtlige - ekskl. Nej tak gratisaviser	By	By - ekskl. Nej tak	By - ekskl. Nej tak gratisaviser	Land	Land - ekskl. Nej tak	Land - ekskl. Nej tak gratisaviser	Etager	Etager - ekskl. Nej tak	Etager - ekskl. Nej tak gratisaviser	V/RH	Villa/Række - ekskl. Nej tak	Villa/Række - ekskl. Nej tak gratisaviser	Jordbrug	Jordbrug - ekskl. Nej tak	Jordbrug - ekskl. Nej tak gratisaviser	Kontor	Kontor - ekskl. Nej tak	Kontor - ekskl. Nej tak gratisaviser	Butik	Butik - ekskl. Nej tak	Butik - ekskl. Nej tak gratisaviser	Fri-hus	Fri-hus - ekskl. Nej tak	Fri-hus - ekskl. Nej tak gratisaviser
4244	Agersø	111	61	100	79	42	72	32	19	28	0	0	0	91	48	83	20	13	17	6	5	5	3	3	3	94	81	84
4245	Omø	91	57	82	48	29	45	43	28	37	0	0	0	78	46	69	13	11	13	6	6	6	1	1	1	133	106	114
4250	Fuglebjerg	1971	1252	1792	1207	808	1105	764	444	687	41	29	31	1678	1076	1532	252	147	229	47	35	42	34	29	32	2	2	2
4261	Dalmose	914	551	841	416	255	384	498	296	457	8	8	8	746	454	678	160	89	155	26	23	25	9	9	9	0	0	0
4262	Sandved	990	657	923	470	317	431	520	340	492	33	28	30	806	528	747	151	101	146	17	12	17	3	2	2	6	3	5
4270	Høng	3106	1789	2760	2315	1342	2048	791	447	712	313	196	239	2519	1432	2262	274	161	259	104	79	91	51	43	49	1	0	0
4281	Gørlev	2467	1406	2210	1717	968	1508	750	438	702	197	85	122	2089	1216	1914	181	105	174	68	58	62	39	34	35	1187	1077	1121
4291	Ruds Vedby	1312	816	1200	777	524	726	535	292	474	42	36	38	1104	685	1010	166	95	152	25	18	23	11	9	11	5	4	4
4293	Dianalund	2802	1725	2494	2019	1240	1761	783	485	733	403	189	238	2182	1412	2051	217	124	205	95	79	87	43	40	42	27	21	25
4295	Stenlille	1643	1063	1501	1001	669	912	642	394	589	99	56	67	1388	915	1291	156	92	143	43	37	40	22	21	21	52	38	45
4296	Nyrup	306	193	286	6	5	6	300	188	280	12	11	12	243	155	223	51	27	51	6	5	6	0	0	0	0	0	0
